Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Out Of Africa,nan,,,,,1
Dire Straits - Brothers In Arms,Dire Straits,,,,,1
"Bring On The Night / When The World Is Running Down You Make The Best Of What's (Still Around) - Live In Paris, 1985",Sting,Bring On The Night (Live),1986,33.0,701333.0,1
Suite Memories,nan,,,,,1
South Somewhere Else,Nana Grizol,South Somewhere Else,2020-06-26,24.0,262941.0,1
TuTuTu,NANE,TuTuTu,2022-11-14,36.0,177391.0,1
The Voice - The Columbia Years 1943-1952,nan,,,,,1
"Atlantic Rhythm And Blues 1947-1974, Vols. 1-7",nan,,,,,1
Back In The High Life,nan,,,,,1
Jimmy Jam & Terry Lewis,nan,,,,,1
"Horowitz - The Studio Recordings, New York 1985",nan,,,,,1
Liszt: A Faust Symphony,nan,,,,,1
Bernstein: Candide,nan,,,,,1
Orff: Carmina Burana,nan,,,,,1
"Horowitz - The Studio Recordings, New York 1985",nan,,,,,1
Beethoven: Cello And Piano Sonata No. 4 In C & Variations,nan,,,,,1
Mozart: Kathleen Battle Sings Mozart,nan,,,,,1
Lutoslawski: Symphony No. 3,nan,,,,,1
"Horowitz - The Studio Recordings, New York 1985",nan,,,,,1
Thomas Frost,nan,,,,,1
That's What Friends Are For (Single),Dionne Warwick,,,,,0
Sledgehammer (Single),Peter Gabriel,,,,,0
Greatest Love Of All (Single),Whitney Houston,,,,,0
Addicted To Love,Robert Palmer,Riptide,1985-01-01,64.0,363640.0,0
Send in the Clowns,Barbra Streisand,The Broadway Album,1985-01-01,39.0,281626.0,0
Solsbury Hill,Peter Gabriel,Peter Gabriel 1: Car (Remastered Version),1977-02-25,61.0,261440.0,0
Control (Album),Janet Jackson,,,,,0
Back In The High Life (Album),Steve Winwood,,,,,0
Sledgehammer (Single),nan,,,,,0
Higher Love (Single),nan,,,,,0
Graceland,nan,,,,,0
Addicted To Love (Single),nan,,,,,0
Glass Tiger,nan,,,,,0
Timbuk 3,nan,,,,,0
Simply Red,nan,,,,,0
Nu Shooz,nan,,,,,0
Typical Male (Single),Tina Turner,,,,,0
True Colors (Single),Cyndi Lauper,,,,,0
Papa Don't Preach (Single),Madonna,,,,,0
Friends (Album),Dionne Warwick,,,,,0
Sweet Freedom (Theme From Running Scared) (Single),Michael McDonald,,,,,0
Graceland (Album),Paul Simon,,,,,0
Glory Of Love (Theme From The Karate Kid Part II) (Single),Peter Cetera,,,,,0
Danger Zone (Single),Kenny Loggins,,,,,0
